0  0.000000
10  0.000004
20  0.000037
30  0.000127
40  0.000271
50  0.000674
60  0.001042
70  0.001489
80  0.002182
90  0.003079
100  0.004269
110  0.005451
120  0.007111
130  0.009653
140  0.011636
150  0.014654
160  0.018319
170  0.023421
180  0.027600
190  0.038038
200  0.039297
210  0.047555
220  0.053769
230  0.063558
240  0.076290
250  0.084064
260  0.092201
270  0.109912
280  0.115347
290  0.133293
300  0.143769
310  0.184618
320  0.203290
330  0.201813
340  0.229090
350  0.242750
360  0.241017
370  0.281116
380  0.297753
390  0.329657
400  0.367987
410  0.397866
420  0.414602
430  0.448395
440  0.448684
450  0.565399
460  0.661550
470  0.659888
480  0.655144
490  0.743769
500  0.743395
510  0.835481
520  0.962368
530  1.076229
540  1.083147
550  1.277921
560  1.131612
570  1.396630
580  1.720512
590  1.896445
600  1.684967
610  1.962050
620  2.682528
630  2.991476
640  3.211718
650  3.303107
660  3.471183
670  3.286561
680  3.094034
690  4.444438
700  3.911761
710  4.001951
720  3.142694
730  5.286874
740  5.104392
750  5.298365
760  6.013128
770  6.469343
780  7.061893
790  6.631354
800  5.386381
810  6.649697
820  6.735180
830  7.294653
840  5.929575
850  8.089943
860  8.039704
870  8.288441
889  9.106432
900  9.503467
910  9.740763
920  7.885504
930  10.943315
940  10.719318
950  11.474262
960  10.062510
970  12.387991
980  12.519836
990  13.244434
